"","run_ind","exp_ind","experiment","dataset","seed","RMSE","ASSOC","RMSE_t","ASSOC_t","RMSE_t2","ASSOC_t2","RMSE_ADNI","ASSOC_ADNI","RMSE_UCL","ASSOC_UCL","RMSE_EPAD","ASSOC_EPAD","RMSE_ADNI_CN","ASSOC_ADNI_CN","RMSE_ADNI_MCI","ASSOC_ADNI_MCI","RMSE_ADNI_AD","ASSOC_ADNI_AD","exp_grp"
"470",470,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4564,298.34506391695,0.460040756563355,305.241224917776,0.398661227617998,329.961321982603,0.481976835517357,333.525681632604,0.498403739548087,317.668474993573,0.0324086528440726,326.396962332602,0.465549931486628,337.646521566188,0.500017622465037,316.407327386389,0.569870459806751,377.013192488983,0.45838826233191,10
"471",471,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4565,295.629669266765,0.465894416207655,307.204752921087,0.397809178642528,324.79229987273,0.496789477818183,324.974458471707,0.533639928764589,312.533673121034,0.125341664318664,324.610141273752,0.459939026871778,334.64103513749,0.51064716692356,304.480584185791,0.611205591676131,368.562873870928,0.48434622367792,10
"472",472,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4566,295.35324461496,0.460149596441913,307.000889409505,0.405574416598726,327.661264018926,0.487543179107032,330.371426372252,0.511298136905397,322.822254074519,-0.0343393482515424,324.951101665601,0.463788221308666,340.767830179178,0.468525143822331,311.958099623056,0.583548742703966,367.238572000178,0.488181140578674,10
"473",473,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4567,295.683563559152,0.464943903635089,307.29188113562,0.396645010327893,332.07985168608,0.472315724174885,337.958533201781,0.481362000552707,314.913346635252,0.0544861216306938,326.201170170379,0.463269447797063,351.56097840578,0.460158903889679,318.209433573495,0.560822470632432,373.272358179351,0.457782185100394,10
"474",474,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4568,295.512895452171,0.458981604579018,307.246284793073,0.404020860625578,326.436260609494,0.494596068033305,329.399491443411,0.51797730365869,309.258089699724,0.161322176195759,323.473029775577,0.471214832407921,341.656730473547,0.494880028793741,310.254865584813,0.590107190433748,365.192264940374,0.501788992137805,10
"475",475,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4569,295.203550789723,0.464686496145161,307.285868094219,0.399772508350288,328.239091772593,0.485067512868329,329.995274904271,0.513826737647407,317.9065315535,0.00999869261608583,326.482908640916,0.456308288089252,336.198776270714,0.497554477512091,311.65667221602,0.588541119079817,373.423212512052,0.47015172637764,10
"476",476,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4570,295.551377955537,0.459537130018767,306.952554062833,0.404535360979051,328.5153547847,0.483159329773023,329.680798928869,0.511936906160949,315.278609624715,0.0791223752346292,327.349910640531,0.454381753385097,339.110891552184,0.471943160308928,310.119729782474,0.591683051377549,371.220528320911,0.484207218808172,10
"477",477,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4571,296.694883254769,0.462078599758078,306.097856307601,0.400516031555066,329.160730647361,0.479764749764328,332.915062476177,0.494145180751973,320.720010708556,9.01828813398104e-06,325.406398818544,0.465384318776684,342.01131555234,0.468881444895556,311.036826440989,0.580838533752121,381.187301376142,0.426275317656124,10
"478",478,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4572,297.526413909406,0.461082727656739,305.344975259856,0.400846251236902,327.684669241937,0.483172205675493,328.823077856992,0.512469225199235,319.649038357535,0.0239686627858531,326.546260626883,0.45387518615175,336.990419566078,0.478514018225605,308.181797856964,0.594895279701932,375.248446135593,0.479110801029348,10
"479",479,16,"gpr_age_sex_ICV_nc_gpc_INTERSECT_PRS_TH_1_nc_gpc","ukbb",4573,295.358325339202,0.455988097327513,307.171485212873,0.407852177520465,328.193087944959,0.486080363539465,332.223725055069,0.501421130439917,320.810870174114,-0.00178319054849776,324.162450834849,0.470739596639013,338.195695071404,0.47486894141948,315.16422824234,0.568307384368987,372.590159289536,0.458246659106319,10
